col_X,pattern_X,match_type_X,col_Y,pattern_Y,match_type_Y,confidence,n_matching_X,n_valid,n_violations,epsilon,generalized_from
Division,MS,startswith,Department,POL,exact,1.0,287,287,0,0.0,1
Division,MS,startswith,Department Name,Department of Police,exact,1.0,287,287,0,0.0,1
Position Title,E,startswith,Assignment Category,Fulltime-Regular,exact,1.0,282,282,0,0.0,1
Underfilled Job Title,Po,startswith,Department,POL,exact,1.0,278,278,0,0.0,1
Underfilled Job Title,Po,startswith,Department Name,Department of Police,exact,1.0,278,278,0,0.0,1
Underfilled Job Title,Po,startswith,Position Title,Police Officer III,exact,1.0,278,278,0,0.0,3
Division,Hi,startswith,Assignment Category,Fulltime-Regular,exact,1.0,232,232,0,0.0,1
Division,Hi,startswith,Department,DOT,exact,1.0,232,232,0,0.0,1
Division,Hi,startswith,Department Name,Department of Transportation,exact,1.0,232,232,0,0.0,1
Division,IS,startswith,Department,POL,exact,1.0,218,218,0,0.0,1
Division,IS,startswith,Department Name,Department of Police,exact,1.0,218,218,0,0.0,1
Division,Fle,startswith,Assignment Category,Fulltime-Regular,exact,1.0,214,214,0,0.0,1
Position Title,Sc,startswith,Department,HHS,exact,1.0,213,213,0,0.0,1
Position Title,Sc,startswith,Department Name,Department of Health and Human Services,exact,1.0,213,213,0,0.0,1
Position Title,Liq,startswith,Department,DLC,exact,1.0,212,212,0,0.0,1
Position Title,Liq,startswith,Department Name,Department of Liquor Control,exact,1.0,212,212,0,0.0,1
Department,DP,startswith,Department Name,Department of Permitting Services,exact,1.0,195,195,0,0.0,2
Position Title,Inc,startswith,Assignment Category,Fulltime-Regular,exact,1.0,195,195,0,0.0,1
Position Title,Tr,startswith,Assignment Category,Fulltime-Regular,exact,1.0,179,179,0,0.0,1
Department,S,startswith,Department Name,Sheriff's Office,exact,1.0,170,170,0,0.0,3
Department Name,S,startswith,Department,SHF,exact,1.0,170,170,0,0.0,4
Position Title,Cr,startswith,Department,POL,exact,1.0,170,170,0,0.0,1
Position Title,Cr,startswith,Department Name,Department of Police,exact,1.0,170,170,0,0.0,1
Position Title,Cro,startswith,Assignment Category,Parttime-Regular,exact,1.0,161,161,0,0.0,2
Position Title,Cro,startswith,Division,FSB Traffic Division School Safety Section,exact,1.0,161,161,0,0.0,2
Department,DEP,startswith,Department Name,Department of Environmental Protection,exact,1.0,156,156,0,0.0,1
Division,Inc,startswith,Department,HHS,exact,1.0,149,149,0,0.0,1
Division,Inc,startswith,Department Name,Department of Health and Human Services,exact,1.0,149,149,0,0.0,1
Position Title,Dep,startswith,Assignment Category,Fulltime-Regular,exact,1.0,148,148,0,0.0,1
Department,DT,startswith,Department Name,Department of Technology Services,exact,1.0,137,137,0,0.0,2
Department,R,startswith,Department Name,Department of Recreation,exact,1.0,126,126,0,0.0,3
Position Title,Pe,startswith,Assignment Category,Fulltime-Regular,exact,1.0,116,116,0,0.0,1
Department,FI,startswith,Department Name,Department of Finance,exact,1.0,111,111,0,0.0,2
Position Title,Mec,startswith,Assignment Category,Fulltime-Regular,exact,1.0,111,111,0,0.0,1
Position Title,Mec,startswith,Department,DGS,exact,1.0,111,111,0,0.0,1
Position Title,Mec,startswith,Department Name,Department of General Services,exact,1.0,111,111,0,0.0,1
Position Title,Mec,startswith,Gender,M,exact,1.0,111,111,0,0.0,1
Position Title,W,startswith,Gender,M,exact,1.0,105,105,0,0.0,1
Division,Adu,startswith,Department,HHS,exact,1.0,97,97,0,0.0,1
Division,Adu,startswith,Department Name,Department of Health and Human Services,exact,1.0,97,97,0,0.0,1
Underfilled Job Title,Cor,startswith,Assignment Category,Fulltime-Regular,exact,1.0,92,92,0,0.0,1
Underfilled Job Title,Cor,startswith,Department,COR,exact,1.0,92,92,0,0.0,2
Underfilled Job Title,Cor,startswith,Department Name,Correction and Rehabilitation,exact,1.0,92,92,0,0.0,2
Department,CC,startswith,Department Name,County Council,exact,1.0,91,91,0,0.0,2
Division,Council,startswith,Department,CCL,exact,1.0,91,91,0,0.0,1
Division,Council,startswith,Department Name,County Council,exact,1.0,91,91,0,0.0,1
Position Title,Rec,startswith,Department,REC,exact,1.0,91,91,0,0.0,2
Position Title,Rec,startswith,Department Name,Department of Recreation,exact,1.0,91,91,0,0.0,2
Division,Med,startswith,Assignment Category,Fulltime-Regular,exact,1.0,85,85,0,0.0,1
Division,Transportation,startswith,Department,DOT,exact,1.0,85,85,0,0.0,1
Division,Transportation,startswith,Department Name,Department of Transportation,exact,1.0,85,85,0,0.0,1
Division,Sol,startswith,Department,DEP,exact,1.0,78,78,0,0.0,1
Division,Sol,startswith,Department Name,Department of Environmental Protection,exact,1.0,78,78,0,0.0,1
Department,HC,startswith,Department Name,Department of Housing and Community Affairs,exact,1.0,75,75,0,0.0,2
Division,Bee,startswith,Department,DLC,exact,1.0,75,75,0,0.0,1
Division,Bee,startswith,Department Name,Department of Liquor Control,exact,1.0,75,75,0,0.0,1
Position Title,Transit,startswith,Department,DOT,exact,1.0,75,75,0,0.0,1
Position Title,Transit,startswith,Department Name,Department of Transportation,exact,1.0,75,75,0,0.0,1
Department,CA,startswith,Department Name,County Attorney's Office,exact,1.0,73,73,0,0.0,2
Division,Dir,startswith,Assignment Category,Fulltime-Regular,exact,1.0,71,71,0,0.0,1
Division,Pa,startswith,Assignment Category,Fulltime-Regular,exact,1.0,70,70,0,0.0,1
Division,Adm,startswith,Assignment Category,Fulltime-Regular,exact,1.0,70,70,0,0.0,1
Division,Liq,startswith,Department,DLC,exact,1.0,70,70,0,0.0,1
Division,Liq,startswith,Department Name,Department of Liquor Control,exact,1.0,70,70,0,0.0,1
Division,Liq,startswith,Gender,M,exact,1.0,70,70,0,0.0,1
Division,Medical,startswith,Department,HHS,exact,1.0,69,69,0,0.0,1
Division,Medical,startswith,Department Name,Department of Health and Human Services,exact,1.0,69,69,0,0.0,1
Department,CEC,startswith,Department Name,Community Engagement Cluster,exact,1.0,67,67,0,0.0,1
Division,La,startswith,Assignment Category,Fulltime-Regular,exact,1.0,65,65,0,0.0,1
Department,OH,startswith,Department Name,Office of Human Resources,exact,1.0,64,64,0,0.0,2
Division,Pr,startswith,Assignment Category,Fulltime-Regular,exact,1.0,63,63,0,0.0,1
Division,Court,startswith,Assignment Category,Fulltime-Regular,exact,1.0,62,62,0,0.0,1
Division,Tea,startswith,Department,DPS,exact,1.0,62,62,0,0.0,1
Division,Court,startswith,Department,SHF,exact,1.0,62,62,0,0.0,1
Division,Tea,startswith,Department Name,Department of Permitting Services,exact,1.0,62,62,0,0.0,1
Division,Court,startswith,Department Name,Sheriff's Office,exact,1.0,62,62,0,0.0,1
Division,Fie,startswith,Assignment Category,Fulltime-Regular,exact,1.0,60,60,0,0.0,1
Division,Lan,startswith,Department,DPS,exact,1.0,59,59,0,0.0,1
Division,Lan,startswith,Department Name,Department of Permitting Services,exact,1.0,59,59,0,0.0,1
Department,PI,startswith,Assignment Category,Fulltime-Regular,exact,1.0,58,58,0,0.0,1
Department,PI,startswith,Department Name,Office of Public Information,exact,1.0,58,58,0,0.0,2
Division,MC,startswith,Assignment Category,Fulltime-Regular,exact,1.0,58,58,0,0.0,1
Date First Hired,5/3,startswith,Assignment Category,Fulltime-Regular,exact,1.0,55,55,0,0.0,1
Position Title,Su,startswith,Assignment Category,Fulltime-Regular,exact,1.0,55,55,0,0.0,1
Position Title,War,startswith,Department,DLC,exact,1.0,55,55,0,0.0,1
Position Title,War,startswith,Department Name,Department of Liquor Control,exact,1.0,55,55,0,0.0,1
Division,Ar,startswith,Department,HHS,exact,1.0,49,49,0,0.0,1
Division,Ar,startswith,Department Name,Department of Health and Human Services,exact,1.0,49,49,0,0.0,1
Division,Par,startswith,Department,DOT,exact,1.0,48,48,0,0.0,1
Division,Par,startswith,Department Name,Department of Transportation,exact,1.0,48,48,0,0.0,1
Division,Fir,startswith,Assignment Category,Fulltime-Regular,exact,1.0,46,46,0,0.0,1
Division,MC3,startswith,Department,PIO,exact,1.0,46,46,0,0.0,2
Division,MC3,startswith,Department Name,Office of Public Information,exact,1.0,46,46,0,0.0,2
Division,En,startswith,Assignment Category,Fulltime-Regular,exact,1.0,44,44,0,0.0,1
Division,PR,startswith,Assignment Category,Fulltime-Regular,exact,1.0,42,42,0,0.0,1
Division,PR,startswith,Department,COR,exact,1.0,42,42,0,0.0,1
Division,PR,startswith,Department Name,Correction and Rehabilitation,exact,1.0,42,42,0,0.0,1
Division,Information,startswith,Assignment Category,Fulltime-Regular,exact,1.0,41,41,0,0.0,1
Division,Sh,startswith,Department,SHF,exact,1.0,41,41,0,0.0,1
Division,Sh,startswith,Department Name,Sheriff's Office,exact,1.0,41,41,0,0.0,1
Position Title,Wo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,40,40,0,0.0,1
Division,Hou,startswith,Department,HCA,exact,1.0,39,39,0,0.0,1
Division,ST,startswith,Department,HHS,exact,1.0,39,39,0,0.0,1
Division,ST,startswith,Department Name,Department of Health and Human Services,exact,1.0,39,39,0,0.0,1
Division,Hou,startswith,Department Name,Department of Housing and Community Affairs,exact,1.0,39,39,0,0.0,1
Underfilled Job Title,I,startswith,Assignment Category,Fulltime-Regular,exact,1.0,39,39,0,0.0,1
Department,CEX,startswith,Department Name,Offices of the County Executive,exact,1.0,38,38,0,0.0,1
Department Name,Offices,startswith,Department,CEX,exact,1.0,38,38,0,0.0,1
Position Title,Ac,startswith,Assignment Category,Fulltime-Regular,exact,1.0,38,38,0,0.0,1
Position Title,Sec,startswith,Assignment Category,Fulltime-Regular,exact,1.0,38,38,0,0.0,1
Position Title,Security,startswith,Department,POL,exact,1.0,37,37,0,0.0,1
Position Title,Security,startswith,Department Name,Department of Police,exact,1.0,37,37,0,0.0,1
Position Title,Security,startswith,Division,FSB Security Services Division,exact,1.0,37,37,0,0.0,1
Division,Man,startswith,Assignment Category,Fulltime-Regular,exact,1.0,36,36,0,0.0,1
Date First Hired,2/3,startswith,Assignment Category,Fulltime-Regular,exact,1.0,35,35,0,0.0,1
Division,2,startswith,Department,HHS,exact,1.0,35,35,0,0.0,1
Division,2,startswith,Department Name,Department of Health and Human Services,exact,1.0,35,35,0,0.0,1
Full Name,Sta,startswith,Assignment Category,Fulltime-Regular,exact,1.0,34,34,0,0.0,1
Department,PR,startswith,Assignment Category,Fulltime-Regular,exact,1.0,32,32,0,0.0,1
Department,PR,startswith,Department Name,Office of Procurement,exact,1.0,32,32,0,0.0,2
Position Title,Management,startswith,Assignment Category,Fulltime-Regular,exact,1.0,32,32,0,0.0,1
Division,Wat,startswith,Assignment Category,Fulltime-Regular,exact,1.0,31,31,0,0.0,1
Division,PT,startswith,Assignment Category,Fulltime-Regular,exact,1.0,31,31,0,0.0,1
Division,Traffic,startswith,Assignment Category,Fulltime-Regular,exact,1.0,31,31,0,0.0,1
Division,PT,startswith,Department,COR,exact,1.0,31,31,0,0.0,1
Division,Wat,startswith,Department,DEP,exact,1.0,31,31,0,0.0,1
Division,Traffic,startswith,Department,DOT,exact,1.0,31,31,0,0.0,1
Division,PT,startswith,Department Name,Correction and Rehabilitation,exact,1.0,31,31,0,0.0,1
Division,Wat,startswith,Department Name,Department of Environmental Protection,exact,1.0,31,31,0,0.0,1
Division,Traffic,startswith,Department Name,Department of Transportation,exact,1.0,31,31,0,0.0,1
Position Title,Di,startswith,Assignment Category,Fulltime-Regular,exact,1.0,31,31,0,0.0,1
Position Title,Con,startswith,Assignment Category,Fulltime-Regular,exact,1.0,31,31,0,0.0,1
Position Title,Cu,startswith,Assignment Category,Fulltime-Regular,exact,1.0,31,31,0,0.0,1
Position Title,Cu,startswith,Department,PIO,exact,1.0,31,31,0,0.0,3
Position Title,Cu,startswith,Department Name,Office of Public Information,exact,1.0,31,31,0,0.0,3
Position Title,Cu,startswith,Division,MC311,exact,1.0,31,31,0,0.0,3
Department,OM,startswith,Assignment Category,Fulltime-Regular,exact,1.0,30,30,0,0.0,1
Department,OM,startswith,Department Name,Office of Management and Budget,exact,1.0,30,30,0,0.0,2
Full Name,Moo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,30,30,0,0.0,1
Full Name,Robinson,startswith,Assignment Category,Fulltime-Regular,exact,1.0,30,30,0,0.0,1
Division,EA,startswith,Department,DTS,exact,1.0,29,29,0,0.0,1
Division,EA,startswith,Department Name,Department of Technology Services,exact,1.0,29,29,0,0.0,1
Department,B,startswith,Assignment Category,Fulltime-Regular,exact,1.0,28,28,0,0.0,1
Department,CU,startswith,Department Name,Community Use of Public Facilities,exact,1.0,28,28,0,0.0,2
Department Name,B,startswith,Assignment Category,Fulltime-Regular,exact,1.0,28,28,0,0.0,1
Full Name,Lu,startswith,Assignment Category,Fulltime-Regular,exact,1.0,28,28,0,0.0,1
Position Title,Res,startswith,Assignment Category,Fulltime-Regular,exact,1.0,28,28,0,0.0,1
Position Title,Cod,startswith,Assignment Category,Fulltime-Regular,exact,1.0,28,28,0,0.0,1
Position Title,Res,startswith,Department,COR,exact,1.0,28,28,0,0.0,1
Position Title,Res,startswith,Department Name,Correction and Rehabilitation,exact,1.0,28,28,0,0.0,1
Position Title,Res,startswith,Division,PRRS Facility and Security,exact,1.0,28,28,0,0.0,2
Division,ES,startswith,Department,DTS,exact,1.0,27,27,0,0.0,1
Division,Countywide,startswith,Department,REC,exact,1.0,27,27,0,0.0,1
Division,Countywide,startswith,Department Name,Department of Recreation,exact,1.0,27,27,0,0.0,1
Division,ES,startswith,Department Name,Department of Technology Services,exact,1.0,27,27,0,0.0,1
Department,BOE,startswith,Department Name,Board of Elections,exact,1.0,26,26,0,0.0,1
Division,Ro,startswith,Department,LIB,exact,1.0,26,26,0,0.0,1
Division,Ro,startswith,Department Name,Department of Public Libraries,exact,1.0,26,26,0,0.0,1
Division,Ta,startswith,Assignment Category,Fulltime-Regular,exact,1.0,25,25,0,0.0,1
Division,Ce,startswith,Assignment Category,Fulltime-Regular,exact,1.0,25,25,0,0.0,1
Division,Ce,startswith,Department,DGS,exact,1.0,25,25,0,0.0,1
Division,Ta,startswith,Department,FIN,exact,1.0,25,25,0,0.0,1
Division,Ta,startswith,Department Name,Department of Finance,exact,1.0,25,25,0,0.0,1
Division,Ce,startswith,Department Name,Department of General Services,exact,1.0,25,25,0,0.0,1
Full Name,Ed,startswith,Assignment Category,Fulltime-Regular,exact,1.0,25,25,0,0.0,1
Full Name,White,startswith,Assignment Category,Fulltime-Regular,exact,1.0,25,25,0,0.0,1
Position Title,Fo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,25,25,0,0.0,1
Position Title,Bui,startswith,Department,DGS,exact,1.0,25,25,0,0.0,1
Position Title,Bui,startswith,Department Name,Department of General Services,exact,1.0,25,25,0,0.0,1
Position Title,Bui,startswith,Division,Facilities Maintenance,exact,1.0,25,25,0,0.0,1
Division,Fis,startswith,Assignment Category,Fulltime-Regular,exact,1.0,24,24,0,0.0,1
Division,Ga,startswith,Department,LIB,exact,1.0,24,24,0,0.0,1
Division,Ga,startswith,Department Name,Department of Public Libraries,exact,1.0,24,24,0,0.0,1
Position Title,U,startswith,Assignment Category,Fulltime-Regular,exact,1.0,24,24,0,0.0,1
Position Title,U,startswith,Department,CEC,exact,1.0,24,24,0,0.0,4
Position Title,U,startswith,Department Name,Community Engagement Cluster,exact,1.0,24,24,0,0.0,4
Division,HQ,startswith,Assignment Category,Fulltime-Regular,exact,1.0,23,23,0,0.0,1
Division,Op,startswith,Assignment Category,Fulltime-Regular,exact,1.0,23,23,0,0.0,1
Division,Gen,startswith,Assignment Category,Fulltime-Regular,exact,1.0,23,23,0,0.0,1
Division,HQ,startswith,Department,POL,exact,1.0,23,23,0,0.0,1
Division,HQ,startswith,Department Name,Department of Police,exact,1.0,23,23,0,0.0,1
Full Name,Hal,startswith,Assignment Category,Fulltime-Regular,exact,1.0,23,23,0,0.0,1
Full Name,Carter,startswith,Assignment Category,Fulltime-Regular,exact,1.0,23,23,0,0.0,1
Position Title,Al,startswith,Assignment Category,Fulltime-Regular,exact,1.0,23,23,0,0.0,1
Position Title,Al,startswith,Department,DLC,exact,1.0,23,23,0,0.0,1
Position Title,Forensic,startswith,Department,POL,exact,1.0,23,23,0,0.0,1
Position Title,Al,startswith,Department Name,Department of Liquor Control,exact,1.0,23,23,0,0.0,1
Position Title,Forensic,startswith,Department Name,Department of Police,exact,1.0,23,23,0,0.0,1
Division,ET,startswith,Assignment Category,Fulltime-Regular,exact,1.0,22,22,0,0.0,1
Division,Cod,startswith,Assignment Category,Fulltime-Regular,exact,1.0,22,22,0,0.0,1
Division,Th,startswith,Assignment Category,Fulltime-Regular,exact,1.0,22,22,0,0.0,1
Division,ET,startswith,Department,DTS,exact,1.0,22,22,0,0.0,1
Division,Cod,startswith,Department,FRS,exact,1.0,22,22,0,0.0,1
Division,Th,startswith,Department,FRS,exact,1.0,22,22,0,0.0,1
Division,Qui,startswith,Department,LIB,exact,1.0,22,22,0,0.0,1
Division,Qui,startswith,Department Name,Department of Public Libraries,exact,1.0,22,22,0,0.0,1
Division,ET,startswith,Department Name,Department of Technology Services,exact,1.0,22,22,0,0.0,1
Division,Cod,startswith,Department Name,Fire and Rescue Services,exact,1.0,22,22,0,0.0,1
Division,Th,startswith,Department Name,Fire and Rescue Services,exact,1.0,22,22,0,0.0,1
Full Name,Coo,startswith,Assignment Category,Fulltime-Regular,exact,1.0,22,22,0,0.0,1
Position Title,Ho,startswith,Assignment Category,Fulltime-Regular,exact,1.0,22,22,0,0.0,1
Position Title,Ca,startswith,Assignment Category,Fulltime-Regular,exact,1.0,22,22,0,0.0,1
Position Title,Ho,startswith,Department,HCA,exact,1.0,22,22,0,0.0,3
Position Title,Ho,startswith,Department Name,Department of Housing and Community Affairs,exact,1.0,22,22,0,0.0,3
Position Title,Ho,startswith,Division,Housing Code Enforcement,exact,1.0,22,22,0,0.0,3
Date First Hired,5/5,startswith,Assignment Category,Fulltime-Regular,exact,1.0,21,21,0,0.0,1
Date First Hired,9/7,startswith,Assignment Category,Fulltime-Regular,exact,1.0,21,21,0,0.0,1
Division,DO,startswith,Assignment Category,Fulltime-Regular,exact,1.0,21,21,0,0.0,1
Division,DO,startswith,Department,COR,exact,1.0,21,21,0,0.0,1
Division,DO,startswith,Department Name,Correction and Rehabilitation,exact,1.0,21,21,0,0.0,1
Full Name,Bra,startswith,Assignment Category,Fulltime-Regular,exact,1.0,21,21,0,0.0,1
Division,Con,startswith,Assignment Category,Fulltime-Regular,exact,1.0,20,20,0,0.0,1
Position Title,Hi,startswith,Assignment Category,Fulltime-Regular,exact,1.0,20,20,0,0.0,1
Position Title,Hi,startswith,Department,DOT,exact,1.0,20,20,0,0.0,1
Position Title,Hi,startswith,Department Name,Department of Transportation,exact,1.0,20,20,0,0.0,1
Division,Hom,startswith,Assignment Category,Fulltime-Regular,exact,1.0,19,19,0,0.0,1
Division,Bui,startswith,Assignment Category,Fulltime-Regular,exact,1.0,19,19,0,0.0,1
Division,Training,startswith,Assignment Category,Fulltime-Regular,exact,1.0,19,19,0,0.0,1
Division,Hom,startswith,Department,HHS,exact,1.0,19,19,0,0.0,1
Division,Hom,startswith,Department Name,Department of Health and Human Services,exact,1.0,19,19,0,0.0,1
Full Name,Ni,startswith,Assignment Category,Fulltime-Regular,exact,1.0,19,19,0,0.0,1
Underfilled Job Title,T,startswith,Assignment Category,Fulltime-Regular,exact,1.0,19,19,0,0.0,1
Underfilled Job Title,M,startswith,Assignment Category,Fulltime-Regular,exact,1.0,19,19,0,0.0,1
Underfilled Job Title,Inc,startswith,Department,HHS,exact,1.0,19,19,0,0.0,1
Underfilled Job Title,Inc,startswith,Department Name,Department of Health and Human Services,exact,1.0,19,19,0,0.0,1
Underfilled Job Title,Inc,startswith,Position Title,Income Assistance Program Specialist II,exact,1.0,19,19,0,0.0,2
Division,Lic,startswith,Assignment Category,Fulltime-Regular,exact,1.0,18,18,0,0.0,1
Division,War,startswith,Assignment Category,Fulltime-Regular,exact,1.0,18,18,0,0.0,1
Division,ER,startswith,Department,DTS,exact,1.0,18,18,0,0.0,1
Division,Dis,startswith,Department,HHS,exact,1.0,18,18,0,0.0,1
Division,War,startswith,Department,SHF,exact,1.0,18,18,0,0.0,1
Division,Dis,startswith,Department Name,Department of Health and Human Services,exact,1.0,18,18,0,0.0,1
Division,ER,startswith,Department Name,Department of Technology Services,exact,1.0,18,18,0,0.0,1
Division,War,startswith,Department Name,Sheriff's Office,exact,1.0,18,18,0,0.0,1
Full Name,Fre,startswith,Assignment Category,Fulltime-Regular,exact,1.0,18,18,0,0.0,1
Position Title,Procurement,startswith,Assignment Category,Fulltime-Regular,exact,1.0,18,18,0,0.0,1
Position Title,Procurement,startswith,Department,PRO,exact,1.0,18,18,0,0.0,1
Position Title,Procurement,startswith,Department Name,Office of Procurement,exact,1.0,18,18,0,0.0,1
Division,Qua,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Division,Fif,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Division,Su,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Division,Scheduling,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Division,Qua,startswith,Department,DGS,exact,1.0,17,17,0,0.0,1
Division,Project,startswith,Department,DGS,exact,1.0,17,17,0,0.0,1
Division,Fif,startswith,Department,FRS,exact,1.0,17,17,0,0.0,1
Division,Marilyn,startswith,Department,LIB,exact,1.0,17,17,0,0.0,1
Division,Qua,startswith,Department Name,Department of General Services,exact,1.0,17,17,0,0.0,1
Division,Project,startswith,Department Name,Department of General Services,exact,1.0,17,17,0,0.0,1
Division,Marilyn,startswith,Department Name,Department of Public Libraries,exact,1.0,17,17,0,0.0,1
Division,Fif,startswith,Department Name,Fire and Rescue Services,exact,1.0,17,17,0,0.0,1
Full Name,Bai,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Full Name,Bow,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Full Name,Chi,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Full Name,Don,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Position Title,Mai,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Position Title,HV,startswith,Assignment Category,Fulltime-Regular,exact,1.0,17,17,0,0.0,1
Position Title,HV,startswith,Department,DGS,exact,1.0,17,17,0,0.0,1
Position Title,HV,startswith,Department Name,Department of General Services,exact,1.0,17,17,0,0.0,1
Position Title,HV,startswith,Division,Facilities Maintenance,exact,1.0,17,17,0,0.0,1
Position Title,HV,startswith,Gender,M,exact,1.0,17,17,0,0.0,1
Department,OC,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Department,OC,startswith,Department Name,Office of Consumer Protection,exact,1.0,16,16,0,0.0,2
Division,Mat,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Division,Sec,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Division,Sit,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Division,Y,startswith,Assignment Category,Fulltime-Regular,exact,1.0,16,16,0,0.0,1
Division,Sit,startswith,Department,DPS,exact,1.0,16,16,0,0.0,1
Division,Sec,startswith,Department,FRS,exact,1.0,16,16,0,0.0,1
Division,First,startswith,Department,FRS,exact,1.0,16,16,0,0.0,1
